Kategori: Tüm kategoriler

Ay,IST:MGROS: (Türkiye),IST:TSKB: (Türkiye)
2012-10,4,19
2012-11,5,22
2012-12,14,23
2013-01,3,26
2013-02,4,19
2013-03,4,23
2013-04,1,20
2013-05,3,19
2013-06,6,17
2013-07,4,20
2013-08,5,17
2013-09,5,18
2013-10,3,16
2013-11,5,19
2013-12,3,14
2014-01,2,16
2014-02,2,16
2014-03,3,16
2014-04,5,19
2014-05,0,23
2014-06,2,17
2014-07,3,16
2014-08,3,17
2014-09,3,18
2014-10,5,17
2014-11,2,19
2014-12,2,16
2015-01,5,15
2015-02,5,15
2015-03,2,17
2015-04,3,17
2015-05,2,14
2015-06,2,18
2015-07,5,18
2015-08,3,16
2015-09,4,14
2015-10,2,18
2015-11,3,24
2015-12,4,21
2016-01,3,19
2016-02,6,20
2016-03,4,24
2016-04,5,24
2016-05,5,21
2016-06,3,22
2016-07,3,21
2016-08,4,19
2016-09,4,23
2016-10,3,21
2016-11,4,4
2016-12,3,2
2017-01,4,5
2017-02,6,0
2017-03,6,4
2017-04,4,3
2017-05,6,9
2017-06,4,3
2017-07,4,3
2017-08,4,6
2017-09,4,1
2017-10,1,0
2017-11,10,0
2017-12,8,0
2018-01,4,0
2018-02,9,4
2018-03,14,3
2018-04,11,1
2018-05,7,0
2018-06,4,3
2018-07,6,1
2018-08,5,4
2018-09,16,49
2018-10,15,100
2018-11,12,79
2018-12,8,75
2019-01,14,74
2019-02,13,63
2019-03,17,53
2019-04,18,36
2019-05,20,45
2019-06,14,49
2019-07,18,61
