Kategori: Tüm kategoriler

Ay,IST:SAHOL: (Türkiye),IST:TTKOM: (Türkiye)
2012-10,3,6
2012-11,2,7
2012-12,1,11
2013-01,1,10
2013-02,2,10
2013-03,3,8
2013-04,1,6
2013-05,2,10
2013-06,2,6
2013-07,1,8
2013-08,2,5
2013-09,3,7
2013-10,1,7
2013-11,4,9
2013-12,1,8
2014-01,3,6
2014-02,2,9
2014-03,5,8
2014-04,2,8
2014-05,1,8
2014-06,2,5
2014-07,0,5
2014-08,2,4
2014-09,1,6
2014-10,2,4
2014-11,2,5
2014-12,1,3
2015-01,2,6
2015-02,4,5
2015-03,2,8
2015-04,1,7
2015-05,1,6
2015-06,1,4
2015-07,2,4
2015-08,3,3
2015-09,2,5
2015-10,2,5
2015-11,2,4
2015-12,8,6
2016-01,9,6
2016-02,7,9
2016-03,8,9
2016-04,4,8
2016-05,3,9
2016-06,1,5
2016-07,2,6
2016-08,4,7
2016-09,2,8
2016-10,3,10
2016-11,6,1
2016-12,5,0
2017-01,6,0
2017-02,4,0
2017-03,4,0
2017-04,4,1
2017-05,5,0
2017-06,3,0
2017-07,6,0
2017-08,10,0
2017-09,7,1
2017-10,8,1
2017-11,6,0
2017-12,8,12
2018-01,8,0
2018-02,12,0
2018-03,8,0
2018-04,7,1
2018-05,7,1
2018-06,9,0
2018-07,10,1
2018-08,10,0
2018-09,21,45
2018-10,17,100
2018-11,16,58
2018-12,12,1
2019-01,13,1
2019-02,10,1
2019-03,10,0
2019-04,13,8
2019-05,14,0
2019-06,10,2
2019-07,12,1
