Kategori: Tüm kategoriler

Ay,IST:SAHOL: (Türkiye),IST:AKBNK: (Türkiye),Sabancı Holding hisse: (Türkiye)
2012-10,13,40,7
2012-11,8,38,0
2012-12,5,35,0
2013-01,5,34,0
2013-02,8,31,6
2013-03,16,26,4
2013-04,6,40,0
2013-05,8,42,0
2013-06,8,28,0
2013-07,6,41,5
2013-08,9,38,9
2013-09,12,25,0
2013-10,6,27,6
2013-11,21,30,6
2013-12,5,40,0
2014-01,13,40,0
2014-02,10,30,0
2014-03,25,32,0
2014-04,8,38,0
2014-05,7,36,5
2014-06,8,27,10
2014-07,0,40,6
2014-08,11,35,0
2014-09,6,37,0
2014-10,8,19,0
2014-11,11,24,0
2014-12,5,29,0
2015-01,9,35,8
2015-02,19,40,8
2015-03,9,27,0
2015-04,7,18,0
2015-05,4,24,0
2015-06,4,38,0
2015-07,8,25,0
2015-08,12,30,0
2015-09,11,22,0
2015-10,11,25,4
2015-11,11,26,0
2015-12,36,22,5
2016-01,41,23,11
2016-02,34,27,5
2016-03,36,28,0
2016-04,20,21,0
2016-05,15,26,0
2016-06,7,23,6
2016-07,10,29,2
2016-08,20,25,6
2016-09,10,31,0
2016-10,13,29,0
2016-11,30,4,4
2016-12,24,4,5
2017-01,29,0,2
2017-02,21,10,3
2017-03,20,19,0
2017-04,18,11,6
2017-05,25,19,0
2017-06,13,20,3
2017-07,30,19,0
2017-08,45,11,11
2017-09,35,25,7
2017-10,39,20,5
2017-11,27,31,5
2017-12,38,14,7
2018-01,36,7,17
2018-02,55,0,13
2018-03,36,0,6
2018-04,32,0,3
2018-05,33,4,5
2018-06,44,0,9
2018-07,48,0,8
2018-08,47,0,7
2018-09,100,0,3
2018-10,80,0,9
2018-11,75,0,16
2018-12,57,3,11
2019-01,61,9,4
2019-02,47,0,7
2019-03,47,3,0
2019-04,60,3,8
2019-05,67,0,0
2019-06,47,3,4
2019-07,58,0,14
